"method","criterion_label","interval_type","emission_decile","n","observed_mean","predicted_mean","coverage","upper_miss_rate","mean_width"
"L1","MSE","abs_residual_95",2,738,1.56605528455285,1.46606964770454,0.990514905149051,0,2.85376190463875
"L1","MSE","abs_residual_95",3,738,1.80477628726287,1.60718770617715,0.995934959349594,0,2.85376190463875
"L1","MSE","abs_residual_95",4,738,2.02039891598916,1.80070851333868,0.991869918699187,0,2.85376190463875
"L1","MSE","abs_residual_95",5,739,2.33196211096076,2.05599089707678,0.9851150202977,0.0027063599458728,2.85376190463875
"L1","MSE","abs_residual_95",6,738,2.74030460704607,2.37178466897164,0.962059620596206,0.0121951219512195,2.85376190463875
"L1","MSE","abs_residual_95",7,738,3.21216775067751,2.79639201236211,0.949864498644986,0.029810298102981,2.85376190463875
"L1","MSE","abs_residual_95",8,738,3.71855785907859,3.38240685813849,0.910569105691057,0.0609756097560976,2.85376190463875
"L1","MSE","abs_residual_95",9,738,4.6273337398374,4.49482736952304,0.871273712737127,0.0989159891598916,2.85376190463875
"L1","MSE","abs_residual_95",10,739,8.1443201623816,6.97598204042537,0.683355886332882,0.290933694181326,2.85376190463875
"L1","MSE","upper_95",1,738,1.11788945799458,1.29555535316047,0.998644986449865,0.0013550135501355,NA
"L1","MSE","upper_95",2,738,1.56605528455285,1.46606964770454,0.991869918699187,0.00813008130081301,NA
"L1","MSE","upper_95",3,738,1.80477628726287,1.60718770617715,0.964769647696477,0.035230352303523,NA
"L1","MSE","upper_95",4,738,2.02039891598916,1.80070851333868,0.939024390243902,0.0609756097560976,NA
"L1","MSE","upper_95",5,739,2.33196211096076,2.05599089707678,0.817320703653586,0.182679296346414,NA
"L1","MSE","upper_95",6,738,2.74030460704607,2.37178466897164,0.644986449864499,0.355013550135501,NA
"L1","MSE","upper_95",7,738,3.21216775067751,2.79639201236211,0.688346883468835,0.311653116531165,NA
"L1","MSE","upper_95",8,738,3.71855785907859,3.38240685813849,0.611111111111111,0.388888888888889,NA
"L1","MSE","upper_95",9,738,4.6273337398374,4.49482736952304,0.697831978319783,0.302168021680217,NA
