"rep","tail_weight","estimator","ok","nrmse","mae","bias","reserve_error","abs_reserve_error","under_rate","tail_mae","tail_bias","tail_reserve_error","abs_tail_reserve_error","tail_under_rate","pmm2_share","layers","nrmse_winner","reserve_winner","tail_reserve_winner"
4,8,"PMM-auto",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0.0555555555555556,3,TRUE,FALSE,FALSE
4,8,"PMM-relaxed",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0.0555555555555556,3,TRUE,FALSE,FALSE
4,8,"LSE",TRUE,0.998847728395817,3833.17039831582,-1359.92434533009,-0.361161021397479,0.361161021397479,0.199,25332.576182918,-25235.860536085,-0.90986507318226,0.90986507318226,0.96,0,3,FALSE,TRUE,TRUE
4,8,"Huber",TRUE,1.00103049298737,3126.01924513839,-2630.97718919358,-0.698720051733453,0.698720051733453,0.561,26552.0547188701,-26552.0547188701,-0.957319730602378,0.957319730602378,1,0,3,FALSE,FALSE,FALSE
4,8,"L1",TRUE,1.00111459853994,3114.66063230926,-2600.88433825575,-0.690728162464912,0.690728162464912,0.522,26564.2213027538,-26564.2213027538,-0.9577583900933,0.9577583900933,1,0,3,FALSE,FALSE,FALSE
4,16,"PMM-auto",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0.0555555555555556,3,TRUE,FALSE,FALSE
4,16,"PMM-relaxed",TRUE,0.998843708082651,3828.81139311297,-1366.09328313243,-0.362799333032448,0.362799333032448,0.197,25357.0881254727,-25256.1683789399,-0.910597261288108,0.910597261288108,0.96,0.0555555555555556,3,TRUE,FALSE,FALSE
4,16,"LSE",TRUE,0.998847728395817,3833.17039831582,-1359.92434533009,-0.361161021397479,0.361161021397479,0.199,25332.576182918,-25235.860536085,-0.90986507318226,0.90986507318226,0.96,0,3,FALSE,TRUE,TRUE
4,16,"Huber",TRUE,1.00103049298737,3126.01924513839,-2630.97718919358,-0.698720051733453,0.698720051733453,0.561,26552.0547188701,-26552.0547188701,-0.957319730602378,0.957319730602378,1,0,3,FALSE,FALSE,FALSE
4,16,"L1",TRUE,1.00111666395677,3114.63571357021,-2593.623342409,-0.688799828226777,0.688799828226777,0.521,26556.6364136864,-26556.6364136864,-0.957484921089279,0.957484921089279,1,0,3,FALSE,FALSE,FALSE
